Date,Open,High,Low,Close,Adj Close,Volume,,,,mean,,MAM
14-05-17,43080,43170,42800,42900,42401.35938,16033,,,,,,
15-05-17,42900,43180,42900,43100,42599.03125,40936,,,,,,
16-05-17,43070,43100,42300,43100,42599.03125,70386,,,,,,
17-05-17,43200,43400,42700,43030,42529.84766,59930,,,,,,
18-05-17,42900,43030,42270,42960,42460.66797,85476,,,,,,
21-05-17,43000,43470,42850,43360,42856.01953,27925,,,,,,
22-05-17,43360,43500,42570,42800,42302.51953,55194,,,,,,
23-05-17,42900,43180,42600,43020,42519.96875,27575,,,,,,
24-05-17,43050,43050,42530,42680,42183.91406,40798,,,,,,
25-05-17,42680,43000,42480,43000,42500.63672,129292,,,,,,
28-05-17,43500,43620,43330,43610,43147.70313,31795,,,,,,
29-05-17,43650,43770,43040,43050,42593.63672,46641,,,,,,
01-06-17,43820,43920,43500,43650,43187.27734,91032,,,,,,
04-06-17,44220,44330,44180,44210,43741.34375,21847,,,,,,
05-06-17,44150,44290,43810,44100,43632.51172,39869,,,,,,
06-06-17,43830,44590,43770,44430,43959,48880,,,,,,
07-06-17,44110,44610,44110,44610,44137.10156,44678,,,,,,
08-06-17,44700,44900,44520,44890,44414.12891,49645,,,,,,
11-06-17,44600,44660,44220,44230,43761.14063,16580,,,,,,
12-06-17,44230,44440,43350,43580,43118.02344,42035,,,,,,
13-06-17,43850,44240,43580,44120,43652.29688,29914,,,,,,
14-06-17,44000,44700,43880,44600,44127.20313,40612,,,,,,
15-06-17,44450,44450,43390,43480,43019.08203,58378,,,,,,
18-06-17,43480,43570,42850,42850,42395.76172,56116,,,,,,
19-06-17,43100,44010,43100,44010,43543.46484,54606,,,,,,
20-06-17,44010,44490,43760,44390,43919.42188,33551,,,,,,
21-06-17,44380,44480,44070,44450,43978.79688,32952,,,,,,
22-06-17,44480,44480,44250,44310,43840.28125,26265,,,,,,
25-06-17,44150,44300,43860,43980,43513.78125,17915,,,,,,
26-06-17,43980,44490,43770,44470,43998.58594,35541,,,,,,
27-06-17,44090,44160,43900,44160,43691.87891,38152,,,,,,
28-06-17,44150,44150,43850,43970,43503.87891,24840,,,,,,
29-06-17,44000,44140,43030,43030,42573.84766,154860,,,,,,
02-07-17,43350,43600,43240,43380,42920.13672,18670,,,,,,
03-07-17,43610,43830,43450,43780,43315.89844,27327,,,,,,
04-07-17,43700,43770,43400,43500,43038.86328,20774,,,,,,
05-07-17,43460,43890,43390,43880,43414.83594,23136,,,,,,
06-07-17,43890,44200,43660,44050,43583.03516,46558,,,,,,
09-07-17,44390,44390,44050,44130,43662.1875,10186,,,,,,
10-07-17,44190,44270,43920,43980,43513.78125,27848,,,,,,
11-07-17,43990,44400,43990,44400,43929.32813,26974,,,,,,
12-07-17,44300,44530,44030,44320,43850.17969,22137,,,,,,
13-07-17,44190,44900,44000,44200,43731.44531,48335,,,,,,
16-07-17,44300,44620,44230,44420,43949.11328,14107,,,,,,
17-07-17,44300,44530,44170,44360,43889.74609,19746,,,,,,
18-07-17,44460,44830,44410,44770,44295.39844,29558,,,,,,
19-07-17,44900,44900,44600,44790,44315.1875,21215,,,,,,
20-07-17,44920,44920,44440,44840,44364.66406,37726,,,,,,
23-07-17,44840,44920,44680,44760,44285.51563,9842,,,,,,
24-07-17,44690,44840,44440,44550,44077.73828,36516,,,,,,
25-07-17,44700,44700,44210,44280,43810.59766,21856,,,,,,
26-07-17,44460,44770,44460,44760,44285.51563,16690,,,,,,
27-07-17,44500,44500,44220,44390,43919.42188,65354,,,,,,
30-07-17,44690,45030,44500,44940,44463.60156,27107,,,,,,
31-07-17,44940,45080,44410,45020,44542.75,48297,,,,,,
02-08-17,45100,45180,44620,44840,44364.66406,30188,,,,,,
03-08-17,44840,45310,44350,45310,44829.67578,112206,,,,,,
06-08-17,45750,46090,45650,46090,45601.41016,53016,,,,,,
07-08-17,46090,46800,45700,46800,46303.88281,43033,,,,,,
08-08-17,46880,47750,46800,47660,47154.76953,52473,,,,,,
09-08-17,47660,47660,46800,46900,46402.83203,60357,,,,,,
10-08-17,45220,46300,45100,45250,44770.31641,118259,,,,,,
13-08-17,45520,46330,45520,46130,45640.99219,18760,,,,,,
14-08-17,46360,47420,46280,47390,46887.625,54713,,,,,,
15-08-17,47100,47500,46800,47100,46600.70703,103652,,,,,,
16-08-17,47100,47600,46630,47550,47045.92969,53806,,,,,,
17-08-17,47800,48620,47720,48620,48104.59375,70503,,,,,,
20-08-17,48620,49090,48400,48700,48183.74219,41292,,,,,,
21-08-17,48660,49270,48520,48830,48312.36328,57976,,,,,,
22-08-17,48830,49550,48830,49310,48787.27734,38663,,,,,,
23-08-17,49310,49630,48850,48900,48381.62109,27954,,,,,,
24-08-17,48650,48820,48500,48570,48055.11719,101053,,,,,,
27-08-17,48550,48850,48550,48550,48035.33203,8026,,,,,,
28-08-17,48700,49060,48500,48740,48223.31641,30504,,,,,,
29-08-17,48800,49170,48250,48540,48025.44141,57563,,,,,,
30-08-17,49210,49340,48780,49100,48579.50781,38245,,,,,,
31-08-17,49100,49370,48730,49350,48870.64453,40742,,,,,,
03-09-17,49000,49500,48500,48830,48355.69141,18376,,,,,,
04-09-17,48830,49000,48350,48610,48137.83984,23290,,,,,,
05-09-17,48560,49400,48400,49370,48890.44922,24925,,,,,,
06-09-17,49380,49870,49010,49680,49197.44531,21127,,,,,,
